,1repeat_cv_acc,1repeat_Coordinate_36,1repeat_idx_start1
0,51.521438450899026,63143246,1532
1,51.037344398340245,83928555,1878
2,53.665283540802214,233242342,2878
3,53.04287690179807,42606433,1066
4,53.3195020746888,38608482,961
5,54.01106500691563,227738168,2861
6,54.42600276625173,40193124,1001
7,57.74550484094052,120982749,2299
8,57.12309820193637,111784171,2197
9,59.05947441217151,22472903,560
10,60.096818810511756,41693783,1039
11,63.554633471645914,29550423,706
12,65.62932226832642,75707143,1786
13,65.21438450899032,43763467,1102
14,65.21438450899032,116108353,2256
15,65.283540802213,86418635,1892
16,68.32641770401106,57886686,1443
17,69.15629322268326,7700550,252
18,70.12448132780082,136564118,2472
19,69.98616874135546,87695872,1905
20,71.9225449515906,38820635,966
21,70.53941908713693,52717234,1324
22,70.40110650069157,48428470,1209
23,72.75242047026279,57685151,1441
24,72.268326417704,32034175,771
25,71.9225449515906,52649924,1317
26,72.06085753803596,117087350,2267
27,70.74688796680498,137426422,2479
28,71.71507607192254,50612978,1259
29,70.81604426002767,16082776,413
