,1repeat_cv_acc,1repeat_Coordinate_36,1repeat_idx_start1
0,51.31396957123098,8304214,256
1,51.10650069156293,157167170,2625
2,51.79806362378977,11774062,339
3,51.65975103734441,57685151,1441
4,52.83540802213002,52221941,1305
5,58.298755186722,61112438,1498
6,59.75103734439834,52690582,1320
7,57.81466113416322,74897975,1770
8,62.7939142461964,136564118,2472
9,59.54356846473029,98091699,2022
10,63.76210235131396,26059369,632
11,64.8686030428769,11590303,332
12,62.58644536652835,43620950,1098
13,64.17704011065007,144801705,2539
14,64.24619640387276,4825493,175
15,66.45919778699862,166073114,2680
16,68.32641770401106,29974959,714
17,67.56569847856156,158975614,2644
18,67.21991701244814,75544772,1780
19,70.26279391424619,4222306,154
20,67.91147994467497,58948089,1458
21,68.81051175656985,7726435,253
22,70.19363762102351,30313577,722
23,69.29460580912863,146814450,2550
24,69.15629322268326,178919231,2761
25,71.02351313969571,97788546,2016
26,67.49654218533887,55899237,1402
27,68.53388658367912,64339702,1563
28,71.16182572614107,45304125,1136
29,69.08713692946058,32835234,797
