L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2894	1532	19	2686	20	252	24	154	2532	1093	2687	164	2531	2688	2175	2541	22	33	12	1389	2880	624	1259	2542	1519	484	2628	1524	339
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	52.249100	51.724138	0.674473	1.000000	0.520690	0.966443	0.517986	0.950355	0.049645	0.966443
2	52.162600	49.310345	0.652068	1.000000	0.506897	0.899329	0.511450	0.907801	0.092199	0.899329
3	51.989600	47.931034	0.624365	1.000000	0.489655	0.825503	0.502041	0.865248	0.134752	0.825503
4	52.941200	47.241379	0.608696	1.000000	0.503448	0.751678	0.511416	0.758865	0.241135	0.751678
5	54.065700	49.310345	0.621083	1.000000	0.541379	0.731544	0.539604	0.659574	0.340426	0.731544
6	55.190300	48.965517	0.623955	1.000000	0.534483	0.751678	0.533333	0.695035	0.304965	0.751678
7	57.526000	54.827586	0.664879	1.000000	0.568966	0.832215	0.553571	0.709220	0.290780	0.832215
8	57.179900	54.827586	0.664921	1.000000	0.558621	0.852349	0.545064	0.751773	0.248227	0.852349
9	59.083000	51.724138	0.649746	1.000000	0.524138	0.859060	0.522449	0.829787	0.170213	0.859060
10	61.505200	54.482759	0.679707	1.000000	0.548276	0.932886	0.534615	0.858156	0.141844	0.932886
11	62.629800	59.655172	0.694444	1.000000	0.620690	0.838926	0.592417	0.609929	0.390071	0.838926
12	63.840800	59.655172	0.668675	1.000000	0.620690	0.744966	0.606557	0.510638	0.489362	0.744966
13	68.771600	64.137931	0.706949	1.000000	0.665517	0.785235	0.642857	0.460993	0.539007	0.785235
14	69.377200	65.862069	0.737805	1.000000	0.703448	0.812081	0.675978	0.411348	0.588652	0.812081
15	68.252600	65.172414	0.720721	1.000000	0.679310	0.805369	0.652174	0.453901	0.546099	0.805369
16	69.550200	62.758621	0.711864	1.000000	0.648276	0.845638	0.614634	0.560284	0.439716	0.845638
17	69.809700	63.793103	0.717808	1.000000	0.644828	0.879195	0.606481	0.602837	0.397163	0.879195
18	70.242200	64.482759	0.721311	1.000000	0.648276	0.885906	0.608295	0.602837	0.397163	0.885906
19	69.982700	64.482759	0.721311	1.000000	0.648276	0.885906	0.608295	0.602837	0.397163	0.885906
20	69.550200	65.517241	0.734584	1.000000	0.658621	0.919463	0.611607	0.617021	0.382979	0.919463
21	69.982700	68.620690	0.759358	1.000000	0.689655	0.953020	0.631111	0.588652	0.411348	0.953020
22	69.723200	65.517241	0.741514	1.000000	0.658621	0.953020	0.606838	0.652482	0.347518	0.953020
23	70.328700	65.862069	0.746114	1.000000	0.662069	0.966443	0.607595	0.659574	0.340426	0.966443
24	70.328700	65.517241	0.744898	1.000000	0.655172	0.979866	0.600823	0.687943	0.312057	0.979866
25	69.550200	63.103448	0.730479	1.000000	0.631034	0.973154	0.584677	0.730496	0.269504	0.973154
26	69.204200	61.034483	0.719603	1.000000	0.610345	0.973154	0.570866	0.773050	0.226950	0.973154
27	69.550200	61.034483	0.720988	1.000000	0.610345	0.979866	0.570313	0.780142	0.219858	0.979866
28	69.723200	62.068966	0.727723	1.000000	0.620690	0.986577	0.576471	0.765957	0.234043	0.986577
29	70.415200	73.448276	0.777429	1.000000	0.755172	0.832215	0.729412	0.326241	0.673759	0.832215
30	69.809700	74.482759	0.785047	1.000000	0.762069	0.845638	0.732558	0.326241	0.673759	0.845638
29	70.415200	73.448276	max_train_acc
